psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
11.633482,-12.427542,-23.623856,1.000000,0.000000,0.000000,0.000000,9.888297,-7.086402,12.903692,-0.905003,-0.028089,0.422229,0.043628
11.671556,-12.354542,-23.958328,1.000000,0.000000,0.000000,0.000000,10.037417,-7.028315,12.880028,-0.904334,-0.027992,0.423600,0.044260
11.761874,-12.330279,-23.776840,1.000000,0.000000,0.000000,0.000000,10.204818,-6.926878,12.827367,-0.903864,-0.028669,0.424505,0.044774
11.764606,-12.202004,-23.838493,1.000000,0.000000,0.000000,0.000000,10.386831,-6.794073,12.748128,-0.903924,-0.030830,0.424213,0.044880
11.707128,-11.948877,-24.123726,1.000000,0.000000,0.000000,0.000000,10.575729,-6.586699,12.638330,-0.904036,-0.033721,0.423764,0.044783
11.659086,-11.628140,-24.123413,1.000000,0.000000,0.000000,0.000000,10.751678,-6.305697,12.509791,-0.904262,-0.037013,0.423074,0.044151
11.456214,-11.113090,-24.995239,1.000000,0.000000,0.000000,0.000000,10.903689,-5.982972,12.351436,-0.904573,-0.040913,0.422128,0.043393
11.318326,-10.669209,-24.767181,1.000000,0.000000,0.000000,0.000000,11.043255,-5.581934,12.132495,-0.905198,-0.045834,0.420350,0.042679
10.900019,-9.768044,-24.918053,1.000000,0.000000,0.000000,0.000000,11.191169,-4.863684,11.696248,-0.906539,-0.053481,0.416704,0.041045
10.328395,-8.882344,-26.419228,1.000000,0.000000,0.000000,0.000000,11.228549,-4.284205,11.328073,-0.907642,-0.059004,0.413737,0.039066
9.931183,-8.148436,-25.919014,1.000000,0.000000,0.000000,0.000000,11.201191,-3.641229,10.893257,-0.909039,-0.064311,0.410101,0.036470
9.322572,-7.263948,-26.051361,1.000000,0.000000,0.000000,0.000000,11.113309,-2.946556,10.392392,-0.911062,-0.070372,0.404861,0.033189
8.606458,-6.275664,-26.303047,1.000000,0.000000,0.000000,0.000000,10.959561,-2.252458,9.868402,-0.913237,-0.076368,0.399087,0.029927
7.837842,-5.288998,-26.065857,1.000000,0.000000,0.000000,0.000000,10.717626,-1.487207,9.290909,-0.915918,-0.083053,0.391823,0.025904
6.968154,-4.260328,-25.841476,1.000000,0.000000,0.000000,0.000000,10.389636,-0.745849,8.738561,-0.918571,-0.089088,0.384459,0.021952
5.966047,-3.151766,-26.152237,1.000000,0.000000,0.000000,0.000000,9.950430,0.030556,8.132607,-0.921863,-0.096238,0.374964,0.017573
4.878707,-2.066869,-26.077477,1.000000,0.000000,0.000000,0.000000,9.435889,0.792394,7.475955,-0.926089,-0.104498,0.362304,0.013193
3.702927,-1.007905,-26.596573,1.000000,0.000000,0.000000,0.000000,8.849771,1.496213,6.845687,-0.930220,-0.110825,0.349752,0.009053
2.550062,-0.010723,-25.751900,1.000000,0.000000,0.000000,0.000000,8.115743,2.194226,6.180636,-0.934547,-0.117337,0.335909,0.004495
1.347597,0.941345,-24.817276,1.000000,0.000000,0.000000,0.000000,7.296478,2.803828,5.513630,-0.939169,-0.124642,0.320041,0.000469
0.089503,1.794168,-24.259850,1.000000,0.000000,0.000000,0.000000,6.454988,3.315332,4.919886,-0.943826,-0.129858,0.303838,-0.003406
-1.153075,2.549607,-22.883453,1.000000,0.000000,0.000000,0.000000,5.491543,3.774626,4.345329,-0.948710,-0.133936,0.286270,-0.007753
-2.396852,3.161309,-21.696251,1.000000,0.000000,0.000000,0.000000,4.489831,4.091545,3.783668,-0.953606,-0.138863,0.266876,-0.011350
-3.631830,3.675928,-20.481277,1.000000,0.000000,0.000000,0.000000,3.544293,4.274613,3.286014,-0.958475,-0.143110,0.246226,-0.014760
-4.867721,4.013298,-19.272141,1.000000,0.000000,0.000000,0.000000,2.526466,4.361341,2.816806,-0.963406,-0.145883,0.224132,-0.018245
-5.981070,4.223694,-17.665405,1.000000,0.000000,0.000000,0.000000,1.517367,4.342607,2.406899,-0.967890,-0.147525,0.202441,-0.021031
-7.080324,4.283345,-16.277855,1.000000,0.000000,0.000000,0.000000,0.577417,4.258363,2.086405,-0.971741,-0.147201,0.183076,-0.023096
-8.047405,4.229388,-14.607971,1.000000,0.000000,0.000000,0.000000,-0.409335,4.098845,1.808231,-0.975659,-0.144730,0.162934,-0.024398
-8.994473,4.070044,-12.368576,1.000000,0.000000,0.000000,0.000000,-1.345615,3.851667,1.627591,-0.979201,-0.141214,0.143610,-0.024498
-9.631300,3.678656,-11.632904,1.000000,0.000000,0.000000,0.000000,-2.157276,3.511653,1.531402,-0.982062,-0.137422,0.126826,-0.024174
-10.085340,3.160082,-11.226387,1.000000,0.000000,0.000000,0.000000,-2.939942,3.036407,1.513290,-0.984705,-0.133226,0.109846,-0.023253
-10.543266,2.577354,-9.900475,1.000000,0.000000,0.000000,0.000000,-3.633885,2.467213,1.565785,-0.986999,-0.129249,0.093016,-0.021818
-10.916601,1.866565,-8.684578,1.000000,0.000000,0.000000,0.000000,-4.266570,1.826157,1.676593,-0.989011,-0.124882,0.076447,-0.020424
-11.070989,1.084597,-8.351440,1.000000,0.000000,0.000000,0.000000,-4.807717,1.171977,1.825832,-0.990588,-0.120750,0.061518,-0.019228
-11.251025,0.232505,-6.826805,1.000000,0.000000,0.000000,0.000000,-5.351999,0.448274,2.042905,-0.992096,-0.115064,0.046558,-0.018414
-11.250817,-0.664489,-6.461418,1.000000,0.000000,0.000000,0.000000,-5.850130,-0.322140,2.261176,-0.993399,-0.108432,0.033094,-0.017495
-11.383494,-1.645324,-4.133087,1.000000,0.000000,0.000000,0.000000,-6.266132,-1.054552,2.579970,-0.994370,-0.102255,0.022312,-0.016578
-11.212482,-2.649065,-3.698631,1.000000,0.000000,0.000000,0.000000,-6.638512,-1.877831,2.954952,-0.995189,-0.096023,0.011598,-0.015615
-11.103618,-3.178710,-3.122330,1.000000,0.000000,0.000000,0.000000,-6.795959,-2.278293,3.145312,-0.995579,-0.092522,0.007024,-0.014586
-10.818395,-4.291209,-2.898163,1.000000,0.000000,0.000000,0.000000,-7.054852,-3.150213,3.566001,-0.996321,-0.084736,-0.002386,-0.012582
-10.439697,-5.369729,-2.734116,1.000000,0.000000,0.000000,0.000000,-7.179767,-4.032654,3.988059,-0.996862,-0.077514,-0.011209,-0.011478
-10.403857,-5.994217,-1.273842,1.000000,0.000000,0.000000,0.000000,-7.211931,-4.461411,4.199843,-0.997073,-0.074326,-0.014471,-0.010565
-9.921956,-7.129256,-1.459496,1.000000,0.000000,0.000000,0.000000,-7.222489,-5.404667,4.674118,-0.997437,-0.068471,-0.019160,-0.008015
-9.457916,-8.308150,-0.997841,1.000000,0.000000,0.000000,0.000000,-7.153471,-6.287870,5.112287,-0.997757,-0.062857,-0.021909,-0.007132
-9.205094,-8.857302,-1.148460,1.000000,0.000000,0.000000,0.000000,-7.068739,-6.776561,5.346058,-0.997979,-0.058782,-0.022887,-0.007653
-8.619949,-10.062073,-1.756767,1.000000,0.000000,0.000000,0.000000,-6.844058,-7.656084,5.738070,-0.998420,-0.050399,-0.023321,-0.008578
-8.144287,-11.416206,-1.193604,1.000000,0.000000,0.000000,0.000000,-6.531914,-8.631369,6.131438,-0.998871,-0.041441,-0.021924,-0.007696
-7.961404,-12.196424,-0.136711,1.000000,0.000000,0.000000,0.000000,-6.344498,-9.085954,6.306037,-0.999101,-0.036301,-0.020498,-0.007652
-7.481514,-12.615699,-2.563416,1.000000,0.000000,0.000000,0.000000,-6.089876,-9.606833,6.496534,-0.999338,-0.030386,-0.018219,-0.008306
